row,column,value,log10_absolute_value
13,12,3.3953986626917847e-08,-7.469109226731772
13,13,2.0894310117709427e-08,-7.679971963693275
13,14,1.1461653774986044e-08,-7.940752714521095
13,15,5.773525822124668e-09,-8.238558887461025
13,16,2.899965526987652e-09,-8.537607164696913
14,1,4.7382699726950877e-14,-13.324380198085295
14,2,1.4336828244204178e-12,-11.84354691759425
14,3,1.8404249266490183e-11,-10.735081893298563
14,4,1.3454488095005582e-10,-9.871132821255378
14,5,6.356778379840076e-10,-9.196762929373428
14,6,2.0909549090991042e-09,-8.679655332529334
14,7,5.040821703948116e-09,-8.297498663474542
14,8,9.261641074830593e-09,-8.033312053642376
14,9,1.3387352293785934e-08,-7.873305307820039
14,10,1.5641401021209645e-08,-7.805724349196281
14,11,1.513211701781654e-08,-7.820100308933912
14,12,1.239805143463882e-08,-7.906646566263726
14,13,8.796481466556219e-09,-8.0556910079895
14,14,5.532554934786845e-09,-8.25707426510855
14,15,3.1669545153483858e-09,-8.499358174037328
14,16,1.7753629636165293e-09,-8.750712844309696
15,1,3.885381377609971e-15,-14.410566345701579
15,2,1.3569072940832308e-13,-12.867449822969173
15,3,1.9789119406741856e-12,-11.703573530973072
15,4,1.628108173374798e-11,-10.788316743464597
15,5,8.613775373698346e-11,-10.064806457769063
15,6,3.1672524460215623e-10,-9.499317319784147
15,7,8.541106075540764e-10,-9.068485884416493
15,8,1.7597377026836223e-09,-8.754552061030415
15,9,2.8628827159814582e-09,-8.543196443401873
15,10,3.7808725364035115e-09,-8.422407963650345
15,11,4.151579785107348e-09,-8.381786611384257
15,12,3.87255299372995e-09,-8.412002630450095
15,13,3.131419489041635e-09,-8.50425874983029
15,14,2.2405711815873593e-09,-8.64964125425951
15,15,1.4513645188522885e-09,-8.838223498213974
15,16,9.076415559324896e-10,-9.042085628367737
16,1,3.108305102087978e-16,-15.507476358709635
16,2,1.2341814852745453e-14,-13.908620972994887
16,3,2.0073165015493866e-13,-12.697384145181017
16,4,1.8228035764686502e-12,-11.739260127972475
16,5,1.0591418297876141e-11,-10.9750458795811
16,6,4.271034173533482e-11,-10.369466953668553
16,7,1.2646003333018298e-10,-9.898046708058839
16,8,2.8695131499890124e-10,-9.542191780690649
16,9,5.164518247561905e-10,-9.286970183763618
16,10,7.586163733699077e-10,-9.119977788066839
16,11,9.317962151418253e-10,-9.0306790579427
16,12,9.773982119295709e-10,-9.009928459813505
16,13,8.922808283944593e-10,-9.049498438194036
16,14,7.219829177036204e-10,-9.141473077824848
16,15,5.280016684887216e-10,-9.27736470509062
16,16,3.689298449272198e-10,-9.433056210690994
